question_text,keywords,question_type
Describe a time you resolved a conflict in a team setting.,,Non-Technical
How do you handle working with difficult colleagues?,,Non-Technical
What makes a team successful in your opinion?,,Non-Technical
Describe your ideal team environment.,,Non-Technical
How do you contribute to team morale?,,Non-Technical
Share an example of successful collaboration.,,Non-Technical
How do you handle competing priorities in a team?,,Non-Technical
Describe a time you received constructive criticism.,,Non-Technical
How do you build trust with new team members?,,Non-Technical
What role do you typically play in group projects?,,Non-Technical
How do you handle underperforming team members?,,Non-Technical
Describe a time you mentored a colleague.,,Non-Technical
How do you celebrate team successes?,,Non-Technical
What's your approach to cross-department collaboration?,,Non-Technical
How do you handle cultural differences in global teams?,,Non-Technical
