question_text,keywords,question_type
How do you adjust communication for different audiences?,,Non-Technical
Describe a time you resolved a misunderstanding.,,Non-Technical
How do you ensure clarity in written communication?,,Non-Technical
What's your strategy for active listening?,,Non-Technical
How do you handle delivering bad news?,,Non-Technical
Describe a time you persuaded someone effectively.,,Non-Technical
How do you tailor communication for executives?,,Non-Technical
What's your approach to giving feedback?,,Non-Technical
How do you handle language barriers?,,Non-Technical
Describe a successful presentation you delivered.,,Non-Technical
How do you communicate technical info to non-technical stakeholders?,,Non-Technical
What's your strategy for difficult conversations?,,Non-Technical
How do you ensure meeting effectiveness?,,Non-Technical
Describe a time you resolved a communication breakdown.,,Non-Technical
How do you handle confidential information?,,Non-Technical
