question_text,keywords,question_type
Describe your leadership philosophy.,,Non-Technical
How do you motivate team members?,,Non-Technical
Share an example of leading through change.,,Non-Technical
How do you develop emerging leaders?,,Non-Technical
What's your approach to decision-making?,,Non-Technical
Describe a time you took initiative.,,Non-Technical
How do you handle ethical dilemmas?,,Non-Technical
What's your strategy for delegation?,,Non-Technical
How do you measure leadership success?,,Non-Technical
Describe a time you coached someone to success.,,Non-Technical
How do you build psychological safety?,,Non-Technical
What's your approach to succession planning?,,Non-Technical
How do you handle unpopular decisions?,,Non-Technical
Describe a time you turned around a struggling team.,,Non-Technical
How do you promote innovation in teams?,,Non-Technical
